pipeline,metric,treated,is_real,tau_hat_d,se_d
corrected,SOS,Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,-3.0864,18.0505
corrected,SOS,Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,-4.274,17.78
corrected,SOS,Bhadrak|Cuttack|Dhenkanal|Kendrapara|Puri,False,-13.0918,15.9185
corrected,SOS,Bhadrak|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-8.7344,16.8036
corrected,SOS,Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-5.5024,17.5046
corrected,SOS,Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-43.4776,12.729
corrected,POS,Angul|Baleshwar|Bhadrak|Cuttack|Dhenkanal,False,-1.5629,2.499
corrected,POS,Angul|Baleshwar|Bhadrak|Cuttack|Jagatsinghpur,False,-2.5851,2.5516
corrected,POS,Angul|Baleshwar|Bhadrak|Cuttack|Kendrapara,False,-2.5833,2.5517
corrected,POS,Angul|Baleshwar|Bhadrak|Cuttack|Puri,False,-4.7967,1.9361
corrected,POS,Angul|Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur,False,0.6309,2.5325
corrected,POS,Angul|Baleshwar|Bhadrak|Dhenkanal|Kendrapara,False,0.6327,2.5322
corrected,POS,Angul|Baleshwar|Bhadrak|Dhenkanal|Puri,False,-1.5807,2.495
corrected,POS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara,False,-0.3896,2.7368
corrected,POS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Puri,False,-2.6029,2.5465
corrected,POS,Angul|Baleshwar|Bhadrak|Kendrapara|Puri,False,-2.6011,2.5465
corrected,POS,Angul|Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur,False,3.9553,2.931
corrected,POS,Angul|Baleshwar|Cuttack|Dhenkanal|Kendrapara,False,3.9571,2.9304
corrected,POS,Angul|Baleshwar|Cuttack|Dhenkanal|Puri,False,1.7438,3.3262
corrected,POS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Kendrapara,False,2.9349,3.3007
corrected,POS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Puri,False,0.7216,3.5429
corrected,POS,Angul|Baleshwar|Cuttack|Kendrapara|Puri,False,0.7233,3.5427
corrected,POS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara,False,6.1509,2.0912
corrected,POS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Puri,False,3.9376,2.9337
corrected,POS,Angul|Baleshwar|Dhenkanal|Kendrapara|Puri,False,3.9393,2.933
corrected,POS,Angul|Baleshwar|Jagatsinghpur|Kendrapara|Puri,False,2.9171,3.3021
corrected,POS,Angul|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,0.6202,2.5318
corrected,POS,Angul|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,0.622,2.5315
corrected,POS,Angul|Bhadrak|Cuttack|Dhenkanal|Puri,False,-1.5913,2.4927
corrected,POS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,-0.4002,2.7355
corrected,POS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,-2.6136,2.5434
corrected,POS,Angul|Bhadrak|Cuttack|Kendrapara|Puri,False,-2.6118,2.5435
corrected,POS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,2.8158,2.2006
corrected,POS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,0.6024,2.5307
corrected,POS,Angul|Bhadrak|Dhenkanal|Kendrapara|Puri,False,0.6042,2.5304
corrected,POS,Angul|Bhadrak|Jagatsinghpur|Kendrapara|Puri,False,-0.418,2.7332
corrected,POS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,6.1402,2.0955
