district,district_id,year,year_type,cyclone_exposure,cyclone_year_event,pipeline,metric,median_doy,p25_doy,p75_doy,boot_p025,boot_p975,n_pixels,v21_f,v21_delta_cyc,v21_correction_days,v21_share_source
Cuttack,ctk,2018,control,inland_control,,raw,EOS,349.0,344.28,353.72,347.63,350.37,6427424,,,,
Cuttack,ctk,2018,control,inland_control,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,6427424,0.0,0.0,0.0,none
Cuttack,ctk,2019,control,inland_control,,raw,SOS,196.0,191.28,200.72,194.63,197.37,17900834,,,,
Cuttack,ctk,2019,control,inland_control,,corrected,SOS,195.82,191.28,200.72,194.63,197.37,17900834,0.013112,14.0,-0.18,EMSR357_real
Cuttack,ctk,2019,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,17900834,,,,
Cuttack,ctk,2019,control,inland_control,,corrected,POS,287.91,283.28,292.72,286.63,289.37,17900834,0.013112,7.0,-0.09,EMSR357_real
Cuttack,ctk,2019,control,inland_control,,raw,EOS,349.0,344.28,353.72,347.63,350.37,17900834,,,,
Cuttack,ctk,2019,control,inland_control,,corrected,EOS,348.72,344.28,353.72,347.63,350.37,17900834,0.013112,21.0,-0.28,EMSR357_real
Cuttack,ctk,2020,control,inland_control,,raw,SOS,136.0,123.93,148.07,132.49,139.51,17866548,,,,
Cuttack,ctk,2020,control,inland_control,,corrected,SOS,136.0,123.93,148.07,132.49,139.51,17866548,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Cuttack,ctk,2020,control,inland_control,,raw,POS,289.0,284.28,293.72,287.63,290.37,17866548,,,,
Cuttack,ctk,2020,control,inland_control,,corrected,POS,289.0,284.28,293.72,287.63,290.37,17866548,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Cuttack,ctk,2020,control,inland_control,,raw,EOS,350.0,345.28,354.72,348.63,351.37,17866548,,,,
Cuttack,ctk,2020,control,inland_control,,corrected,EOS,350.0,345.28,354.72,348.63,351.37,17866548,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Cuttack,ctk,2021,control,inland_control,,raw,SOS,166.0,161.28,170.72,164.63,167.37,17874406,,,,
Cuttack,ctk,2021,control,inland_control,,corrected,SOS,166.0,161.28,170.72,164.63,167.37,17874406,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Cuttack,ctk,2021,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,17874406,,,,
Cuttack,ctk,2021,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,17874406,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Cuttack,ctk,2021,control,inland_control,,raw,EOS,,,,,,17874406,,,,
Cuttack,ctk,2021,control,inland_control,,corrected,EOS,,,,,,17874406,0.0,0.0,0.0,provisional_label_density × Module08 polygon-area
Cuttack,ctk,2022,control,inland_control,,raw,SOS,196.0,184.32,207.68,192.61,199.39,17920054,,,,
Cuttack,ctk,2022,control,inland_control,,corrected,SOS,196.0,184.32,207.68,192.61,199.39,17920054,0.0,0.0,0.0,none
Cuttack,ctk,2022,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,17920054,,,,
Cuttack,ctk,2022,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,17920054,0.0,0.0,0.0,none
Cuttack,ctk,2022,control,inland_control,,raw,EOS,,,,,,17920054,,,,
Cuttack,ctk,2022,control,inland_control,,corrected,EOS,,,,,,17920054,0.0,0.0,0.0,none
Cuttack,ctk,2023,control,inland_control,,raw,SOS,196.0,191.28,200.72,194.63,197.37,18142041,,,,
Cuttack,ctk,2023,control,inland_control,,corrected,SOS,196.0,191.28,200.72,194.63,197.37,18142041,0.0,0.0,0.0,none
Cuttack,ctk,2023,control,inland_control,,raw,POS,288.0,276.32,299.68,284.61,291.39,18142041,,,,
Cuttack,ctk,2023,control,inland_control,,corrected,POS,288.0,276.32,299.68,284.61,291.39,18142041,0.0,0.0,0.0,none
Cuttack,ctk,2023,control,inland_control,,raw,EOS,,,,,,18142041,,,,
Cuttack,ctk,2023,control,inland_control,,corrected,EOS,,,,,,18142041,0.0,0.0,0.0,none
Cuttack,ctk,2024,control,inland_control,,raw,SOS,197.0,192.28,201.72,195.63,198.37,17506468,,,,
Cuttack,ctk,2024,control,inland_control,,corrected,SOS,197.0,192.28,201.72,195.63,198.37,17506468,0.0,0.0,0.0,none
Cuttack,ctk,2024,control,inland_control,,raw,POS,289.0,284.28,293.72,287.63,290.37,17506468,,,,
Cuttack,ctk,2024,control,inland_control,,corrected,POS,289.0,284.28,293.72,287.63,290.37,17506468,0.0,0.0,0.0,none
Cuttack,ctk,2024,control,inland_control,,raw,EOS,,,,,,17506468,,,,
Cuttack,ctk,2024,control,inland_control,,corrected,EOS,,,,,,17506468,0.0,0.0,0.0,none
Dhenkanal,dhk,2017,control,inland_control,,raw,SOS,288.0,283.28,292.72,286.63,289.37,121415,,,,
Dhenkanal,dhk,2017,control,inland_control,,corrected,SOS,288.0,283.28,292.72,286.63,289.37,121415,0.0,0.0,0.0,none
Dhenkanal,dhk,2017,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,121415,,,,
Dhenkanal,dhk,2017,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,121415,0.0,0.0,0.0,none
Dhenkanal,dhk,2017,control,inland_control,,raw,EOS,,,,,,121415,,,,
Dhenkanal,dhk,2017,control,inland_control,,corrected,EOS,,,,,,121415,0.0,0.0,0.0,none
Dhenkanal,dhk,2018,control,inland_control,,raw,SOS,288.0,276.32,299.68,284.61,291.39,11209440,,,,
Dhenkanal,dhk,2018,control,inland_control,,corrected,SOS,288.0,276.32,299.68,284.61,291.39,11209440,0.0,0.0,0.0,none
Dhenkanal,dhk,2018,control,inland_control,,raw,POS,288.0,276.32,299.68,284.61,291.39,11209440,,,,
Dhenkanal,dhk,2018,control,inland_control,,corrected,POS,288.0,276.32,299.68,284.61,291.39,11209440,0.0,0.0,0.0,none
Dhenkanal,dhk,2018,control,inland_control,,raw,EOS,349.0,344.28,353.72,347.63,350.37,11209440,,,,
