cyclone,district,lon,lat,source
Amphan,Bhadrak,86.69654281766765,20.83907304524045,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.93154209599331,20.811315102961164,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.418154911119,20.18258423560591,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.35563216734428,20.082062755312936,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.39093595801019,20.08044578780152,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.43728902667075,20.155634777082323,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.78978794415926,20.57469885712408,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.65045924359231,20.399527376720773,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.79113541708543,20.797301384528897,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.51382548887773,20.25939019239813,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.91860635590199,20.827484778075316,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.40575816019816,20.07451690692633,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.73831447837921,20.877071781758712,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.72807368414024,21.163544525864427,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.74774678886246,20.98055770248928,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.91968433424293,20.833144164365265,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.78089462284647,21.030414200757917,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.81458144600094,20.57793279214691,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.62458776340966,20.65258279225724,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.76876736651086,20.55664271991328,Sentinel-1 SAR change detection (Module 08)
Yaas,Jagatsinghpur,86.46235202309768,20.24753243064775,Sentinel-1 SAR change detection (Module 08)
